cell type,broad type,markers
club cell,epithelium,"CYP2F2, SCGB3A2, CCKAR"
ciliated cell,epithelium,"FOXJ1, TUBB1, TP73, CCDC78"
basal cell,epithelium,"KRT5, KRT14, TP63, DAPL1"
goblet cell,epithelium,"MUC5B, MUC5AC, SPDEF"
mucous cell,epithelium,MUC5B
serous cell,epithelium,"PRR4, LPO, LTF"
ionocyte,epithelium,"CFTR, FOXI1, ASCL3"
neuroendocrine cell,epithelium,"CALCA, CHGA, ASCL1"
tuft cell,epithelium,"DCLK1, ASCL2"
alveolar epithelial type 1 cell,epithelium,"AGER, PDPN, CLIC5"
alveolar epithelial type 2 cell,epithelium,"SFTPB, SFTPC, SFTPD, MUC1, ETV5"
artery cell,endothelium,"GJA5, BMX"
vein cell,endothelium,ACKR1
capillary cell,endothelium,CA4
bronchial vessel,endothelium,
lymphatic cell,endothelium,"PROX1, PDPN"
vascular smooth muscle,stroma,"CNN1, ACTA2, TAGLN, RGS5"
airway smooth muscle,stroma,"CNN1, ACTA2, TAGLN, DES, LGR6"
fibroblast,stroma,"COL1A1, PDGFRA"
myofibroblast,stroma,"COL1A1, PDGFRA, ELN, ACTA2"
lipofibroblast,stroma,"COL1A1, PDGFRA, PLIN2, APOE"
pericyte,stroma,"CSPG4, TRPC6, PDGFRB"
mesothelial cell,stroma,"MSLN, UPK3B, WT1"
intrinsic neuron,neuron,SNAP25
glial cell,glial cell,
b cell,immune cell,"CD79A, CD24, MS4A1, CD19"
plasma cell,immune cell,"CD79A, CD27, SLAMF7"
cd8+ mem/eff t cell,immune cell,"CD3E, CD8A, GZMK, DUSP2"
cd8+ naive t cell,immune cell,"CD3E, CD8, GZMH, GZMB"
cd4+ mem/eff cell,immune cell,"CD3E, CD8, COTL1, LDHB"
cd4+ naive t cell,immune cell,"CD3E, CD4, CCR7, LEF1"
natural killer cell,immune cell,"KLRD1, NKG7, TYROBP"
natural killer t cell,immune cell,"CD3E, CD8A, FCER1G, TYROBP"
neutrophil,immune cell,"S100A8, S100A9, IFITM2, FCGR3B"
basophil,immune cell,"MS4A2, CPA3, TPSAB1"
mast cell,immune cell,"MS4A2, CPA3, TPSAB1"
eosinophil,immune cell,SIGLEC8
megakaryocyte,immune cell,"NRGN, PPBP, PF4, OST4"
macrophage,immune cell,"MARCO, MSR1, MRC1"
plasmacytoid dendritic cell,immune cell,"LILRB4, IRF8, LILRA4"
myeloid dendritic cell 1,immune cell,"MHCII CLEC9A, LAMP3"
myeloid dendritic cell 2,immune cell,"MHCII, CD1C, PLD4"
classical monocyte,immune cell,"CD14, S100A8"
intermediate monocyte,immune cell,"CD14, S100A8, CD16"
nonclassical monocyte,immune cell,CD16
